id_property,id_business,business_name,business_area,business_category,business_sub_category
FCC0013440,1259,Apex International school Limited,11472.93,Portfolio,Construction Ministry of Works - Class I
FCC0013105,1229,M. W Enterprise Pharmacy,648.1175,Consumer staples,Drug stores or pharmacies
FCC0013074,1228,National Electoral Commission,2035.31,Communication services,Other
FCC0013044,1224,NA,505.69,Consumer discretionary,Tailor shop
FCC0013052,1225,NA,101.0725,Consumer discretionary,"Textiles, Clothes, Luxury Goods"
FCC0013201,1238,Kabba's Advance Business Centre Textile,359.2425,Consumer discretionary,"Textiles, Clothes, Luxury Goods"
FCC0013168,13640,Gbolima Trade Investment,502,Consumer staples,"Foods, Beverages and Staples"
FCC0001029,90,two sister's Enterprise,345.86,Consumer staples,Typical provision shop
FCC0013132,1233,Okentu Enterprise,59.99,Consumer discretionary,"Textiles, Clothes, Luxury Goods"
FCC0013136,1235,NA,194.05,Consumer discretionary,Tailor shop
FCC0013160,1236,Kay Kids,687.26,Consumer staples,"Foods, Beverages and Staples"
FCC0013208,1239,NA,984.41,Consumer staples,"Foods, Beverages and Staples"
FCC0013220,1240,Iye saniks gas & mini mart,1397.79,Energy,Consumer Fuels
FCC0000112,12,NA,677.88,Consumer discretionary,"Textiles, Clothes, Luxury Goods"
FCC0000108,10,2E system Ltd,1590.84,Materials Manufacturing/Industrials/Services,Other
FCC0000081,6,CHARIS ENTERPRISE,679.18,Consumer staples,"Foods, Beverages and Staples"
FCC0000020,3,Patifu Enterprise,262.75,Consumer discretionary,Household durable products
FCC0000085,8,NA,764.62,Portfolio,Suppliers
FCC0000125,16,Hoga enterprise,341.405,Consumer discretionary,Restaurants Bars
FCC0000084,7,Freetown Modern Preparatory School,567.82,Portfolio,General Merchandise /Services
FCC0000120,13,Gedor  Enterprise,1002.345,Consumer discretionary,Other
FCC0000121,15,NA,316.65,Materials Manufacturing/Industrials/Services,Consulting & Legal Services and other professional services
FCC0000091,9,NA,364.025,Consumer staples,"Foods, Beverages and Staples"
FCC0000228,21,Vista Bank,1561,Portfolio,Construction Ministry of Works - Class I
FCC0000202,18,NA,207.6325,Consumer staples,"Foods, Beverages and Staples"
FCC0000207,19,NA,1596.81,Portfolio,General Merchandise /Services
FCC0000238,22,NA,154.73,Consumer discretionary,Tailor shop
FCC0000248,23,"Tejan-Cole, Yillah & Bangura",1599.93,Materials Manufacturing/Industrials/Services,Consulting & Legal Services and other professional services
FCC0000305,24,Sweet rice enterprise,334,Consumer staples,"Foods, Beverages and Staples"
FCC0000354,30,Yombo sein enterprise,575.09,Consumer staples,Drug stores or pharmacies
FCC0000348,29,Prinsley nursery Preparatory school,1179.54,Portfolio,Construction Ministry of Works - Class I
FCC0000355,33,NA,1269.63,Materials Manufacturing/Industrials/Services,Building Materials production
FCC0000361,34,Juma Barrie Enterprise,1403.4825,Consumer staples,"Foods, Beverages and Staples"
FCC0000368,35,Kumkay Bar and Restaurant,1891.47,Consumer discretionary,Restaurants Bars
FCC0000400,36,Ernest Kamara refregiration work shop,602.4825,Materials Manufacturing/Industrials/Services,Workshop or repair contractor
FCC0000400,37,NA,200.8275,Consumer discretionary,Tailor shop
FCC0000461,38,NA,262.96,Consumer discretionary,Tailor shop
FCC0000477,39,Guarantee Trust Bank,30716.44,Financials,Banks
FCC0000450,12610,SOS Primary and Secondary School,903.69,Consumer discretionary,Private Schools
FCC0000480,43,NA,428.3425,Consumer staples,"Foods, Beverages and Staples"
FCC0000539,50,Health Value Enterprise Drug Store,1508.42,Consumer discretionary,Other
FCC0000504,48,Icemat beauty saloon,219.33,Consumer discretionary,Barbers/hair or nail saloon
FCC0000590,52,NA,190.755,Consumer staples,"Foods, Beverages and Staples"
FCC0000652,56,Farouk M Gebara Company Limited,2764.92,Portfolio,General Merchandise /Services
FCC0000658,57,NA,92.4,Consumer discretionary,Tailor shop
FCC0000736,62,E Hanson Ent,4519.92,Consumer discretionary,Household durable products
FCC0000650,55,NA,207.295,Consumer discretionary,Other
FCC0000745,13562,Raza Guess House,5387,Portfolio,Construction Ministry of Works - Premium
FCC0000773,67,Abu Bakarr enterprise,1371.42,Consumer discretionary,"Diamond, Jewellery shop"
FCC0000704,61,T. Choithram and Sons,1968.37,Portfolio,Suppliers
FCC0000696,58,,0,NA,NA
FCC0000821,71,TRANSNATIONAL (SL) LTD,5152.98,Portfolio,Construction Ministry of Works - Premium
FCC0000756,64,NA,2173.615,Consumer discretionary,Restaurants Bars
FCC0000845,73,Mount Auorel Academy,869.45,Consumer discretionary,Private Schools
FCC0000860,74,NA,407,Consumer discretionary,Barbers/hair or nail saloon
FCC0000893,77,Kuban College of Social Science &Technology,6941.82,Consumer discretionary,Other
FCC0000912,79,Edia Tech advertising Agency,1079.7,Portfolio,Production Factory (Limited Company)
FCC0000935,83,AL- HAMD ENTP,1623.92,Materials Manufacturing/Industrials/Services,Warehousing
FCC0000966,87,The calabash news paper,2676.8,Materials Manufacturing/Industrials/Services,Media/TV/newspaper
FCC0000914,80,NA,46.58,Consumer discretionary,Tailor shop
FCC0000966,88,The times News papper,2676.8,Materials Manufacturing/Industrials/Services,Media/TV/newspaper
FCC0000934,82,Sierra leone botting company,1710.91,Energy,Other
FCC0000965,86,Millfat Enterprise,1094.73,Consumer discretionary,Restaurants Bars
FCC0001065,94,NA,135.535,Consumer staples,"Foods, Beverages and Staples"
FCC0001103,98,NA,139.675,Consumer discretionary,Building materials retail
FCC0001089,96,Salafh enterprise,399.47,Consumer staples,Typical provision shop
FCC0001085,95,Delifrost (SL) Limited (Goodies Super Market),2547.06,Portfolio,Construction Ministry of Works - Premium
FCC0001095,97,Khoury building materials,1723.06,Portfolio,General Merchandise /Services
FCC0001171,102,NA,254.995,Consumer discretionary,Other
FCC0001177,103,NA,87.3975,Consumer discretionary,Other
FCC0001182,104,NA,366.87,Consumer staples,Typical provision shop
FCC0001193,106,NA,350.45,Consumer staples,"Foods, Beverages and Staples"
FCC0001204,110,Institute of Advance Management and Technology,1137.8,Consumer discretionary,Private Schools
FCC0001189,105,NA,354.78,Consumer staples,Typical provision shop
