id_property,business_name,business_area,business_category,business_sub_category
FCC0000007,K.S.K enterprise,335.8900146,Consumer staples,Consumer staplestypeA
FCC0000018,-,497.0524902,Consumer staples,Consumer staplestypeB
FCC0000020,Patifu Enterprise,262.75,Consumer discretionary,Consumer discretionarytypeC
FCC0000020,Balma Pure Water,788.25,Consumer staples,Consumer staplestypeA
FCC0000058,Kings Kei Enterprise,490.1650085,Consumer discretionary,Consumer discretionarytypeB
FCC0000081,CHARIS ENTERPRISE,679.1799927,Consumer staples,Consumer staplestypeC
FCC0000084,Freetown Modern Preparatory ,567.8200073,Portfolio,PortfoliotypeA
FCC0000085,-,764.6199951,Portfolio,PortfoliotypeB
FCC0000091,-,364.0249939,Consumer staples,Consumer staplestypeC
FCC0000108,2E system Ltd,1590.839966,Materials ,Materials typeA
FCC0000067,Sierra Leone Explosive Limited,3684.620117,Materials ,Materials typeB
FCC0000111,-,436.355011,Consumer staples,Consumer staplestypeC
FCC0000112,-,677.8800049,Consumer discretionary,Consumer discretionarytypeA
FCC0000228,Vista Bank,1561,Portfolio,PortfoliotypeB
FCC0000238,-,154.7299957,Consumer discretionary,Consumer discretionarytypeC
FCC0000248,"Tejan-Cole, Yillah & Bangura",1599.930054,Materials ,Materials typeA
FCC0000305,Sweet rice enterprise,334,Consumer staples,Consumer staplestypeB
FCC0000305,Zain hawa perfect enterprise,334,Consumer discretionary,Consumer discretionarytypeC
FCC0000305,E and I enterprise,334,Consumer discretionary,Consumer discretionarytypeA
FCC0000325,I. M. S and Sons,3785.459961,Portfolio,PortfoliotypeB
FCC0000347,Sidie Bah's Enterprises,149.0599976,Consumer staples,Consumer staplestypeC
FCC0000348,Prinsley nursery Preparatory ,1179.540039,Portfolio,PortfoliotypeA
FCC0000354,Yombo sein enterprise,575.0900269,Consumer staples,Consumer staplestypeB
FCC0000355,Turay and co chamber,1269.630005,Materials ,Materials typeC
FCC0000355,-,2539.26001,Consumer discretionary,Consumer discretionarytypeA
FCC0000355,-,1269.630005,Materials ,Materials typeB
FCC0000361,Juma Barrie Enterprise,1403.482544,Consumer staples,Consumer staplestypeC
FCC0000368,Kumkay Bar and Restaurant,1891.469971,Consumer discretionary,Consumer discretionarytypeA
FCC0000400,Ernest Kamara refregiration work ,602.4824829,Materials ,Materials typeB
FCC0000400,-,200.8274994,Consumer discretionary,Consumer discretionarytypeC
FCC0000450,SOS Primary and Secondary ,903.6900024,Consumer discretionary,Consumer discretionarytypeA
FCC0000461,-,262.9599915,Consumer discretionary,Consumer discretionarytypeB
FCC0000477,Guarantee Trust Bank,30716.43945,Financials,FinancialstypeC
FCC0000478,Zainab Catalog,709.1574707,Consumer discretionary,Consumer discretionarytypeA
FCC0000478,I. B. And Yankaday Enterprise,709.1574707,Consumer discretionary,Consumer discretionarytypeB
FCC0000480,-,428.3424988,Consumer staples,Consumer staplestypeC
FCC0000480,-,856.6849976,Consumer discretionary,Consumer discretionarytypeA
FCC0000480,Tucjo Investment,856.6849976,Consumer discretionary,Consumer discretionarytypeB
FCC0000491,Grace Elizabeth Preparatory and ,257.1199951,Consumer discretionary,Consumer discretionarytypeC
FCC0000501,-,1123.369995,Consumer staples,Consumer staplestypeA
FCC0000504,Icemat beauty saloon,219.3300018,Consumer discretionary,Consumer discretionarytypeB
FCC0000504,-,219.3300018,Consumer staples,Consumer staplestypeC
FCC0000539,Health Value Enterprise Drug ,1508.420044,Consumer discretionary,Consumer discretionarytypeA
FCC0000569,Fat jattu enterprise,333.3250122,Consumer discretionary,Consumer discretionarytypeB
FCC0000590,-,190.7550049,Consumer staples,Consumer staplestypeC
FCC0000609,Mills Enterprise ,584.1749878,Consumer discretionary,Consumer discretionarytypeA
FCC0000618,-,103.1949997,Consumer staples,Consumer staplestypeB
FCC0000650,-,207.2949982,Consumer discretionary,Consumer discretionarytypeC
FCC0000652,Farouk M Gebara Company ,2764.919922,Portfolio,PortfoliotypeA
FCC0000658,-,92.40000153,Consumer discretionary,Consumer discretionarytypeB
FCC0000696,Med saj,136.1374969,Consumer discretionary,Consumer discretionarytypeC
FCC0000696,S&A Legacy Electrical and ,136.1374969,Consumer discretionary,Consumer discretionarytypeA
FCC0000736,E Hanson Ent,4519.919922,Consumer discretionary,Consumer discretionarytypeB
FCC0000745,Raza Guess House ,5387,Portfolio,PortfoliotypeC
FCC0000756,-,2173.61499,Consumer discretionary,Consumer discretionarytypeA
FCC0000704,T. Choithram and Sons,1968.369995,Portfolio,PortfoliotypeB
FCC0000696,,0,null,nulltypeC
FCC0000765,Jalloh Tailor shop,142.1150055,Consumer discretionary,Consumer discretionarytypeA
FCC0000773,Abu Bakarr enterprise,1371.420044,Consumer discretionary,Consumer discretionarytypeB
FCC0000773,Alhaji  jahtee enterprise,1371.420044,Portfolio,PortfoliotypeC
FCC0001362,-,536.3175049,Consumer staples,Consumer staplestypeA
FCC0001377,Alhamdulilah,323.5100098,Consumer staples,Consumer staplestypeB
FCC0001403,Peace Academy ,3586.449951,Consumer discretionary,Consumer discretionarytypeC
FCC0124104,GTBANK,6242,Financials,FinancialstypeA
FCC0001462,Victory No.2,780.9799805,Portfolio,PortfoliotypeB
FCC0001471,Amoula & Son's Trading Company,1804.469971,Portfolio,PortfoliotypeC
FCC0002288,"Vamboi Youth Empowerment, ",174.8399963,Materials ,Materials typeA
FCC0001471,My hope net.,1804.469971,Consumer staples,Consumer staplestypeB
FCC0001828,KADUM ENTERPRISE,207.0650024,Consumer discretionary,Consumer discretionarytypeC
FCC0001830,-,480.167511,Consumer staples,Consumer staplestypeA
FCC0001834,FANTA FEIKA ENT,1407.5,Consumer staples,Consumer staplestypeB
FCC0001857,Zenta enterprises,274.519989,Consumer discretionary,Consumer discretionarytypeC
FCC0001868,-,229.1349945,Consumer staples,Consumer staplestypeA
FCC0001870,-,101.1350021,Consumer staples,Consumer staplestypeB
FCC0001766,Lakiss Cooling Centre,1330.619995,Materials ,Materials typeC
FCC0001886,God E will enterprise,132.5700073,Consumer staples,Consumer staplestypeA
FCC0001903,King's foam factory,12884.16992,Materials ,Materials typeB
FCC0001905,M. M. & Friend Enterprise,644.460022,Consumer discretionary,Consumer discretionarytypeC
FCC0001905,Jakal Enterprise,1933.380127,Consumer staples,Consumer staplestypeA
FCC0001928,Reliable Welders,419.4200134,Consumer discretionary,Consumer discretionarytypeB
FCC0001964,MANSARE AND DIALLO ENT,729.0349731,Consumer staples,Consumer staplestypeC
FCC0001981,-,238.0399933,Consumer discretionary,Consumer discretionarytypeA
FCC0001992,A.Sow Enterprise,279.0100098,Consumer discretionary,Consumer discretionarytypeB
FCC0002008,Good News Preparatory School,1035.849976,Consumer discretionary,Consumer discretionarytypeC
FCC0002016,Sierra Leone Grammar School ,17650,Consumer discretionary,Consumer discretionarytypeA
FCC0002026,-,969.8875122,Consumer discretionary,Consumer discretionarytypeB
FCC0002041,Akram Huballah Enterprises,853.5599976,Portfolio,PortfoliotypeC
FCC0002041,Akram Huballah Enterprises,853.5599976,Consumer discretionary,Consumer discretionarytypeA
FCC0002060,AWOKO PRINTING PRESS,4037.330078,Materials ,Materials typeB
FCC0002104,Sulmed enterprise,39.18000031,Consumer staples,Consumer staplestypeC
FCC0002114,Fanta Enterprise,121.4700012,Consumer staples,Consumer staplestypeA
FCC0002119,Accounting and information ,2868.5,Communication services,Communication servicestypeB
FCC0002141,Perma Block Enterprise ,233.4299927,Portfolio,PortfoliotypeC
FCC0002192,Jam hotel,3016.97998,Consumer discretionary,Consumer discretionarytypeA
FCC0002202,Freeman carrage,923.7374878,Consumer discretionary,Consumer discretionarytypeB
FCC0002205,-,3170.429932,Consumer discretionary,Consumer discretionarytypeC
FCC0002205,Two Hands Garage,792.6074829,Consumer discretionary,Consumer discretionarytypeA
FCC0002219,Alhaji Enterprise,1390.265015,Consumer staples,Consumer staplestypeB
FCC0002221,Kello Enterprise,230.3150024,Consumer discretionary,Consumer discretionarytypeC
FCC0002231,-,243.25,Consumer discretionary,Consumer discretionarytypeA
FCC0002245,-,197.3899994,Consumer staples,Consumer staplestypeB
FCC0002247,Bill-kudus Enterprise,161,Consumer discretionary,Consumer discretionarytypeC
FCC0002255,Aug-ole,1374.714966,Consumer discretionary,Consumer discretionarytypeA
FCC0002257,Nwakor overcomer enterprise,570.1199951,Materials ,Materials typeB
FCC0002279,Rising Academy Network,5025.040039,Consumer discretionary,Consumer discretionarytypeC
FCC0002280,Alusine koinadugu brothers,351.1099854,Portfolio,PortfoliotypeA
FCC0002302,-,1031.369995,Consumer discretionary,Consumer discretionarytypeB
FCC0002306,-,4175.899902,Consumer discretionary,Consumer discretionarytypeC
FCC0002321,-,366.4624939,Consumer staples,Consumer staplestypeA
FCC0002323,-,211.6549988,Consumer discretionary,Consumer discretionarytypeB
FCC0002323,Sabinah enterprise,423.3099976,Consumer staples,Consumer staplestypeC
FCC0002323,-,211.6549988,Consumer discretionary,Consumer discretionarytypeA
FCC0021013,AGAL ENTERTAINMENT,1603.040039,Consumer discretionary,Consumer discretionarytypeB
FCC0000120,Gedor  Enterprise,1002.344971,Consumer discretionary,Consumer discretionarytypeC
FCC0000120,Gedor Enterprise,1002.344971,Consumer staples,Consumer staplestypeA
FCC0000121,-,316.6499939,Materials ,Materials typeB
FCC0000125,Hoga enterprise,341.4049988,Consumer discretionary,Consumer discretionarytypeC
FCC0000172,ACTION ELECTRICAL & GENERAL ,406.9299927,Consumer discretionary,Consumer discretionarytypeA
FCC0000202,-,207.6325073,Consumer staples,Consumer staplestypeB
FCC0000207,-,1596.810059,Portfolio,PortfoliotypeC
FCC0000209,Bilingual Elementary and high ,2828.949951,Portfolio,PortfoliotypeA
FCC0000821,TRANSNATIONAL (SL) LTD,5152.97998,Portfolio,PortfoliotypeB
FCC0000822,Sybanclair pre school,2319.320068,Materials ,Materials typeC
FCC0000845,Mount Auorel Academy,869.4500122,Consumer discretionary,Consumer discretionarytypeA
FCC0000860,-,407,Consumer discretionary,Consumer discretionarytypeB
FCC0000876,-,663,Consumer staples,Consumer staplestypeC
FCC0000882,Evsumo natural spring water,1061.839966,Portfolio,PortfoliotypeA
FCC0000893,Kuban College of Social Science ,6941.819824,Consumer discretionary,Consumer discretionarytypeB
FCC0000897,-,442.7099915,Consumer discretionary,Consumer discretionarytypeC
FCC0000912,Edia Tech advertising Agency,1079.699951,Portfolio,PortfoliotypeA
FCC0000914,-,46.58000183,Consumer discretionary,Consumer discretionarytypeB
FCC0000925,Sueriffta's Restaurant,370.1900024,Consumer staples,Consumer staplestypeC
FCC0000934,Sierra leone botting company,1710.910034,Energy,EnergytypeA
FCC0000935,AL- HAMD ENTP,1623.920044,Materials ,Materials typeB
FCC0000940,Dahi Group,5636.259766,Materials ,Materials typeC
FCC0000960,Warehouse,7669.200195,Materials ,Materials typeA
FCC0000965,Millfat Enterprise,1094.72998,Consumer discretionary,Consumer discretionarytypeB
FCC0000966,The calabash news paper,2676.800049,Materials ,Materials typeC
FCC0000966,The times News papper,2676.800049,Materials ,Materials typeA
FCC0000966,Ramzain ,1338.400024,Consumer discretionary,Consumer discretionarytypeB
FCC0001029,two sister's Enterprise,345.8599854,Consumer staples,Consumer staplestypeC
FCC0001047,Dominion Enterprise,938.7399902,Consumer discretionary,Consumer discretionarytypeA
FCC0001063,-,1224.25,Consumer discretionary,Consumer discretionarytypeB
FCC0001065,-,135.5350037,Consumer staples,Consumer staplestypeC
FCC0001085,Delifrost (SL) Limited (Goodies ,2547.060059,Portfolio,PortfoliotypeA
FCC0001089,Salafh enterprise,399.4700012,Consumer staples,Consumer staplestypeB
FCC0001095,Khoury building materials,1723.060059,Portfolio,PortfoliotypeC
FCC0001103,-,139.6750031,Consumer discretionary,Consumer discretionarytypeA
FCC0001131,Amose Metal Workshop,201.9924927,Consumer discretionary,Consumer discretionarytypeB
FCC0001143,Thompson Nursery and ,1124.880005,Consumer discretionary,Consumer discretionarytypeC
FCC0001156,Medrie international Hotel and ,696.2000122,Consumer discretionary,Consumer discretionarytypeA
FCC0001171,-,254.9949951,Consumer discretionary,Consumer discretionarytypeB
FCC0001177,-,87.39749908,Consumer discretionary,Consumer discretionarytypeC
FCC0001182,-,366.8699951,Consumer staples,Consumer staplestypeA
FCC0001189,-,354.7799988,Consumer staples,Consumer staplestypeB
FCC0001193,-,350.4500122,Consumer staples,Consumer staplestypeC
FCC0001195,MATAX GROUP SL LTD,2664.780029,Materials ,Materials typeA
FCC0001195,NIMBA RESEARCH & CONSULTING,2664.780029,Consumer discretionary,Consumer discretionarytypeB
FCC0001195,Platinum plus services Ltd,1332.390015,Materials ,Materials typeC
FCC0001204,Institute of Advance Management ,1137.800049,Consumer discretionary,Consumer discretionarytypeA
FCC0001221,-,430.0599976,Consumer discretionary,Consumer discretionarytypeB
FCC0001272,Leone Oil,258.6199951,Energy,EnergytypeC
FCC0001290,-,395.9200134,Consumer discretionary,Consumer discretionarytypeA
FCC0001294,-,2794.459961,Consumer staples,Consumer staplestypeB
FCC0001299,-,551.1699829,Consumer discretionary,Consumer discretionarytypeC
FCC0001308,MaFoh Enterprise,333.3299866,Consumer discretionary,Consumer discretionarytypeA
FCC0001325,K3Tele.com Sierra Leone,10610,Communication services,Communication servicestypeB
FCC0010145,Samjana pharmacy,1161.469971,Consumer staples,Consumer staplestypeC
FCC0001345,Lamtec Taylor Shop,146.5500031,Consumer discretionary,Consumer discretionarytypeA
FCC0001350,Quba Islamic Pre-Primary School,3411.310059,Consumer discretionary,Consumer discretionarytypeB
FCC0001481,Christian hope secondary school,6337.305176,Consumer discretionary,Consumer discretionarytypeC
FCC0001499,Dele Preparatory School,9036.540039,Consumer discretionary,Consumer discretionarytypeA
FCC0001506,Mess Reeb Enterprise,574.0200195,Consumer staples,Consumer staplestypeB
FCC0001532,-,303.5849915,Consumer staples,Consumer staplestypeC
FCC0001534,Akums Enterprise,562.5700073,Energy,EnergytypeA
FCC0001543,Umasodor,75.81500244,Consumer staples,Consumer staplestypeB
FCC0001551,Grace maternity,2993.899902,Portfolio,PortfoliotypeC
FCC0001555,SK Enterprises,1943.339966,Portfolio,PortfoliotypeA
FCC0001555,Eicher ,971.6699829,Consumer discretionary,Consumer discretionarytypeB
FCC0001555,Western Union Money Transfer,485.8349915,Financials,FinancialstypeC
FCC0001558,Alliance Fast Food Enterprise,1178.420044,Consumer discretionary,Consumer discretionarytypeA
FCC0001559,-,873.5999756,Consumer staples,Consumer staplestypeB
FCC0001573,Sinko Store ,1457.640015,Portfolio,PortfoliotypeC
FCC0001588,Standard Preparatory School,13277.75977,Consumer discretionary,Consumer discretionarytypeA
FCC0001616,-,335.2575073,Consumer staples,Consumer staplestypeB
FCC0001663,Magdalene Pre-Primary School,1939.939941,Consumer discretionary,Consumer discretionarytypeC
FCC0001675,Morvigor (SL) ltd.,1631.609985,Consumer discretionary,Consumer discretionarytypeA
FCC0001698,Huston Martins,559.4849854,Consumer discretionary,Consumer discretionarytypeB
FCC0001701,Eric Jones Enterprise,260.1600037,Consumer staples,Consumer staplestypeC
FCC0001729,Administrative Office,529.3250122,Consumer discretionary,Consumer discretionarytypeA
FCC0001736,-,161.1999969,Consumer discretionary,Consumer discretionarytypeB
FCC0001758,-,700.5800171,Consumer discretionary,Consumer discretionarytypeC
FCC0001776,Medgarene primary school,352.6000061,Consumer discretionary,Consumer discretionarytypeA
FCC0001781,-,161.4750061,Consumer staples,Consumer staplestypeB
FCC0001676,-,1505.880005,Consumer discretionary,Consumer discretionarytypeC
FCC0001781,C.I.J entertainment company,161.4750061,Consumer discretionary,Consumer discretionarytypeA
FCC0001788,Anti Augusta preparatory  and ,1407.994995,Consumer discretionary,Consumer discretionarytypeB
FCC0158502,FATMARIE INVESTMENT,357.75,Portfolio,PortfoliotypeC
