id_property,made_payment
FCC0000001,TRUE
FCC0000005,TRUE
FCC0000008,TRUE
FCC0000009,TRUE
FCC0000011,TRUE
FCC0000018,TRUE
FCC0000021,TRUE
FCC0000023,TRUE
FCC0000024,TRUE
FCC0000025,TRUE
FCC0000042,TRUE
FCC0000055,TRUE
FCC0000067,TRUE
FCC0000105,TRUE
FCC0000115,TRUE
FCC0000131,TRUE
FCC0000132,TRUE
FCC0000137,TRUE
FCC0000138,TRUE
FCC0000147,TRUE
FCC0000167,TRUE
FCC0000179,TRUE
FCC0000182,TRUE
FCC0000198,TRUE
FCC0000202,TRUE
FCC0000218,TRUE
FCC0000219,TRUE
FCC0000220,TRUE
FCC0000226,TRUE
FCC0000228,TRUE
FCC0000229,TRUE
FCC0000236,TRUE
FCC0000253,TRUE
FCC0000255,TRUE
FCC0000258,TRUE
FCC0000262,TRUE
FCC0000264,TRUE
FCC0000267,TRUE
FCC0000270,TRUE
FCC0000277,TRUE
FCC0000289,TRUE
FCC0000307,TRUE
FCC0000310,TRUE
FCC0000318,TRUE
FCC0000325,TRUE
FCC0000326,TRUE
FCC0000328,TRUE
FCC0000330,TRUE
FCC0000336,TRUE
FCC0000349,TRUE
FCC0000352,TRUE
FCC0000361,TRUE
FCC0000365,TRUE
FCC0000367,TRUE
FCC0000373,TRUE
FCC0000377,TRUE
FCC0000388,TRUE
FCC0000398,TRUE
FCC0000416,TRUE
FCC0000427,TRUE
FCC0000446,TRUE
FCC0000449,TRUE
FCC0000451,TRUE
FCC0000456,TRUE
FCC0000457,TRUE
FCC0000463,TRUE
FCC0000474,TRUE
FCC0000488,TRUE
FCC0000493,TRUE
FCC0000498,TRUE
FCC0000501,TRUE
FCC0000505,TRUE
FCC0000508,TRUE
FCC0000512,TRUE
FCC0000514,TRUE
FCC0000521,TRUE
FCC0000523,TRUE
FCC0000525,TRUE
FCC0000529,TRUE
FCC0000534,TRUE
FCC0000539,TRUE
FCC0000566,TRUE
FCC0000568,TRUE
FCC0000569,TRUE
FCC0000571,TRUE
FCC0000578,TRUE
FCC0000584,TRUE
FCC0000591,TRUE
FCC0000606,TRUE
FCC0000607,TRUE
FCC0000608,TRUE
FCC0000612,TRUE
FCC0000613,TRUE
FCC0000622,TRUE
FCC0000623,TRUE
FCC0000626,TRUE
FCC0000632,TRUE
FCC0000643,TRUE
FCC0000652,TRUE
FCC0000661,TRUE
FCC0000671,TRUE
FCC0000678,TRUE
FCC0000698,TRUE
FCC0000704,TRUE
FCC0000718,TRUE
FCC0000727,TRUE
FCC0000737,TRUE
FCC0000740,TRUE
FCC0000745,TRUE
FCC0000750,TRUE
FCC0000751,TRUE
FCC0000761,TRUE
FCC0000768,TRUE
FCC0000774,TRUE
FCC0000776,TRUE
FCC0000787,TRUE
FCC0000803,TRUE
