id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,aid_conditioning,has_security,has_pool,has_outbuilding,street_quality,domestic_use_of_groundfloor,street_lanes,tourist_area,environmental_hazard,main_road_high_visibility,informal_settlement,commercial_corridor,has_water
FCC0032678,8.48554,-13.2376,138.5,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Wood,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,Yes,Average Road,Yes,Two,No,No,No,No,No,No
FCC0032678,8.48554,-13.2376,415.5,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Wood,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,Yes,Average Road,Yes,Two,No,No,No,No,No,No
FCC0037687,8.48294,-13.2267,766.64,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Good,No,Concrete,Not Visible,No Windows,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,No
FCC0037687,8.48294,-13.2267,958.3,Domestic,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Good,No,Concrete,Not Visible,No Windows,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,No
FCC0033097,8.47791,-13.2041,198.76,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Good Road,No,Two,No,No,No,No,No,No
FCC0014581,8.48947,-13.2236,824,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,No,Average Road,No,None,No,No,No,No,Yes,No
FCC0042793,8.46316,-13.1819,644.89,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Average,No,Concrete,Average,Sliding panels with aluminium frame,Yes,Yes,No,No,Average Road,No,One,No,No,No,No,No,Yes
FCC0158847,8.47824,-13.1929,8612,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Good,No,Galvanised Aluminium,Good,Breeze Block,No,Yes,No,No,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0158844,8.47933,-13.1921,2546,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Zinc,Good,No,Zinc / Metal Sheeting,Good,No Windows,No,Yes,No,No,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0158848,8.47822,-13.1932,8206,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Zinc,Good,No,Zinc / Metal Sheeting,Good,No Windows,No,Yes,No,No,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0010911,8.49265,-13.2782,1573.12,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,Yes,Concrete,Good,Breeze Block,No,No,No,No,Good Road,No,Two,No,No,No,No,No,Yes
FCC0116032,8.48884,-13.2097,4194,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,Yes,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0116044,8.48884,-13.209,21165,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,Breeze Block,No,Yes,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0121268,8.44532,-13.1635,15261,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,Yes,Yes,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0121276,8.44508,-13.1632,2855,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Sliding panels with aluminium frame,No,Yes,No,No,Good Road,No,Four,No,No,No,No,No,No
FCC0014781,8.47262,-13.2398,2089,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,Breeze Block,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0018128,8.47969,-13.2762,161,Commercial,Industrial Warehouse,NA,Difficult,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,None,No,Yes,No,No,No,No
FCC0121342,8.43734,-13.1642,7201,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Good,No Windows,No,Yes,No,Yes,Good Road,No,Two,No,No,No,No,No,Yes
FCC0012880,8.47298,-13.2087,352.01,Commercial,Industrial Warehouse,NA,Difficult,No,No,Zinc,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Bad Road,No,None,No,No,No,No,No,No
FCC0016512,8.48452,-13.204,4178.3198,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Good,Yes,Zinc / Metal Sheeting,Good,Breeze Block,No,No,No,No,Good Road,No,Two,No,No,No,No,No,Yes
FCC0071336,8.49125,-13.2115,1645,Institutional,Dangote Warehouse,Dangote Warehouse,Easy,Yes,Yes,Masonry,Good,Yes,Zinc / Metal Sheeting,Average,Sliding panels with aluminium frame,No,Yes,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0013515,8.47219,-13.1932,1061.66,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,No,Average Road,No,Two,No,No,No,No,No,No
FCC0018879,8.47298,-13.246,509.92,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Zinc,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,Yes,Average Road,No,Two,No,No,No,No,No,No
FCC0019151,8.48374,-13.2267,253.4825,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Average Road,Yes,One,No,No,No,No,No,No
FCC0019151,8.48374,-13.2267,1013.93,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Average Road,Yes,One,No,No,No,No,No,No
FCC0019424,8.4875,-13.233,2559.4299,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0022693,8.47311,-13.2374,374.43,Commercial,Industrial Manufacturing,NA,Easy,No,Yes,Masonry,Good,No,Zinc / Metal Sheeting,Good,No Windows,No,No,No,Yes,Average Road,No,One,No,No,No,No,No,No
FCC0024012,8.47307,-13.1949,935.98,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,One,No,No,No,No,No,No
